size_arr,num_proc,time_avg,time_std,cpu_ut_avg,cpu_ut_std
1,1,0.0024055719375610353,0.0004354872480116484,2.5,15.612494995995995
1,2,0.002948760986328125,5.2807535552772124e-05,5.0,21.79449471770337
1,4,0.004562568664550781,5.3626884215258945e-05,3.4375,17.785066593915246
1,8,0.008167695999145509,0.0004339933572205539,10.625,28.716012519150357
1,16,0.015115499496459961,9.669130069604853e-05,15.310624999999998,27.383112032955182
1,20,0.018696904182434082,0.00012135783203563956,13.746875,26.45218309014163
2,1,0.002202606201171875,3.7160761368544474e-05,2.5,15.612494995995995
2,2,0.0030635833740234376,3.512500452303242e-05,3.4375,17.785066593915246
2,4,0.004663157463073731,4.7212543773774755e-05,5.9375,22.619042723996966
2,8,0.00821685791015625,3.130046423671014e-05,8.4375,25.138289395859854
2,16,0.015223050117492675,9.986240951434195e-05,14.26875,26.99202703461709
2,20,0.01875581741333008,0.0001111104864493957,14.474374999999998,26.814297135285404
4,1,0.002240610122680664,3.9227326965734424e-05,1.25,11.110243021644486
4,2,0.00304110050201416,4.007319874059633e-05,3.75,18.99835519196333
4,4,0.004649925231933594,3.210938007618349e-05,7.5,25.124689052802225
4,8,0.008226418495178222,5.844032347534333e-05,10.9375,28.323949119958538
4,16,0.015448594093322754,0.00013399134539196286,12.967500000000001,26.852999250549278
4,20,0.019069552421569824,0.00014897369856120424,16.140625,27.28287763615442
8,1,0.002727651596069336,3.9294130497685154e-05,1.25,11.110243021644486
8,2,0.003572988510131836,2.9770414437380943e-05,5.0,21.79449471770337
8,4,0.005115771293640136,2.9485631585845533e-05,6.5625,23.797239204369905
8,8,0.008736252784729004,0.0001313550603708386,11.875,29.308435219233388
8,16,0.01585853099822998,0.00014080445996906012,15.20625,27.409812767282812
8,20,0.019687414169311523,0.00033050565164273227,16.815625,26.487201029164538
16,1,0.0065651416778564455,9.062501886811168e-05,3.4375,17.785066593915246
16,2,0.007407164573669434,0.00015262113335714496,10.0,29.47456530637899
16,4,0.008744144439697265,9.750021029572392e-05,12.1875,30.99741672704356
16,8,0.011691403388977051,8.452919148546518e-05,23.333750000000002,35.94992678626063
16,16,0.021317553520202637,0.00022723229501660455,30.829375000000006,27.65451499501257
16,20,0.025167202949523924,0.00025568870241245525,33.690625,25.37239099118124
32,1,0.03702731132507324,0.0007919339516898936,6.375,24.22518059788203
32,2,0.03737719058990478,0.0008744934912413725,12.46875,32.03512171722623
32,4,0.0392972469329834,0.002236763938632262,23.5,39.42080668885405
32,8,0.04195280075073242,0.000455175758646335,44.5,43.517956064135184
32,16,0.08346619606018066,0.0011444276977073983,81.049375,6.8501094596637655
32,20,0.11372625827789307,0.0007392043394253673,75.44000000000001,14.298147607295151
64,1,0.2740862607955933,0.00689182056461125,6.27125,24.20214191838194
64,2,0.2781661510467529,0.006380541162986733,12.475,32.82006055753097
64,4,0.2794001579284668,0.005226881327679832,24.64625,42.499157179142976
64,8,0.28044183254241944,0.0045697091383370934,49.108125,48.585198327107555
64,16,0.5832870483398438,0.0076611026484279185,97.039375,1.276670321333977
64,20,0.7696108341217041,0.015521956772809906,87.61125,8.279115196535194
128,1,2.1487557888031006,0.02662177675300453,6.253125,24.192521886615605
128,2,2.186596417427063,0.030088042714066156,12.44625,32.87605300119678
128,4,2.201276111602783,0.03797924185787897,24.869374999999998,43.041286860517715
128,8,2.210556387901306,0.05229741232324969,49.43625,49.38779642722987
128,16,4.593034386634827,0.05857010122076235,98.721875,0.5951545886364306
128,20,6.035813426971435,0.14161683183459992,90.994375,4.709103509095441
256,1,17.341298723220824,0.3570969925260959,6.251250000000001,24.200666280858883
256,2,17.346151542663574,0.32252540847360034,12.47875,32.99533184311835
256,4,17.41167254447937,0.32427153506649176,24.89125,43.099352355197865
256,8,17.34758858680725,0.17886596529395007,49.533125,49.523693473269695
256,16,36.676458072662356,0.37466658964150434,99.17999999999999,0.425117630779999
256,20,46.8045672416687,0.7361699990821498,94.250625,3.545366639626289
512,1,140.55206236839294,2.4211576029974524,6.25875,24.20399860431123
512,2,140.33413298130034,3.377050728882755,12.47375,33.002919354770725
512,4,137.29116268157958,2.5949519190119084,24.870624999999997,43.0785221962102
512,8,138.54401164054872,2.7514407881868483,49.745,49.746115174956124
512,16,289.53445384502413,4.069877526706483,99.168125,0.4844290292447386
512,20,364.79536805152895,3.8167623423431634,97.69125,1.3585096383537367
