size_arr,num_proc,time_avg,time_std,cpu_ut_avg,cpu_ut_std
1,1,0.00254213809967041,0.00038888998479769636,5.0,21.79449471770337
1,2,0.002873826026916504,0.00012447783782951153,12.5,33.071891388307385
1,4,0.004908013343811035,0.00023041152028271218,22.5,41.75823272122516
1,8,0.009064912796020508,0.0006229114449246678,40.0,45.0
1,16,0.016762328147888184,0.0005165709782192131,66.255,34.858406088058594
1,20,0.02076234817504883,0.0005145266960558457,71.675,29.39151875966943
2,1,0.0022463321685791014,0.0001011136988646428,5.0,21.79449471770337
2,2,0.002917361259460449,5.7383746377399484e-05,8.75,27.128168017763382
2,4,0.004910612106323242,0.00018420137335594137,26.25,43.283224232951966
2,8,0.009016704559326173,0.0003187348922302605,43.75,47.680577806901624
2,16,0.016694808006286622,0.00044031315211508866,64.5875,36.36022681103626
2,20,0.02075653076171875,0.0005859955689655939,65.63250000000001,33.86000876771889
4,1,0.0022903203964233397,8.018141588731274e-05,12.5,33.071891388307385
4,2,0.002974414825439453,0.00010282859264059869,7.5,26.339134382131846
4,4,0.005299806594848633,0.0002262400366757852,33.75,46.62014049742879
4,8,0.009201741218566895,0.00021965865988576215,44.585,45.24513537387197
4,16,0.01696469783782959,0.00044484500434250257,67.08500000000001,34.05212585140611
4,20,0.02059805393218994,0.000337478567950837,75.63250000000001,27.089669502413646
8,1,0.0028166770935058594,8.767400353718979e-05,5.0,21.79449471770337
8,2,0.003585219383239746,0.00014467326016565874,17.5,36.31459761583488
8,4,0.005935788154602051,0.00016161217937123864,26.25,41.814321709194324
8,8,0.010204362869262695,0.00034708735345545234,57.5,45.48351349665063
8,16,0.018907856941223145,0.0005992188150286845,85.8375,23.728355268538945
8,20,0.02274489402770996,0.0008270617759323732,87.50750000000001,17.668833966903417
16,1,0.006453275680541992,0.000114138571380928,20.0,40.0
16,2,0.007245206832885742,0.00011676724616608742,30.0,44.44097208657794
16,4,0.013363122940063477,0.00016578102919373363,75.41749999999999,35.155695751186606
16,8,0.02562251091003418,0.0003412288517053424,87.2975,16.34249808780775
16,16,0.049079060554504395,0.0009252228751144468,94.80250000000001,7.992261491592977
16,20,0.060773253440856934,0.0006749769794339131,95.515,6.88954098616156
32,1,0.03583502769470215,0.00048278327025755833,26.125,42.93144971929087
32,2,0.03686103820800781,0.00044324332828606105,50.125,47.321869944033274
32,4,0.07541048526763916,0.000686623430973366,94.4975,6.429054654457372
32,8,0.15136446952819824,0.0021454240847794525,96.115,4.544257365070777
32,16,0.29953579902648925,0.0022468857700574103,98.7775,1.5788425348970048
32,20,0.373409366607666,0.002521779454789923,99.08250000000001,1.2505773666590947
64,1,0.2658987998962402,0.005083134750235593,24.9075,43.14462531706585
64,2,0.26927387714385986,0.004555173175055589,49.644999999999996,49.30921795161631
64,4,0.5698527097702026,0.004128630685554891,99.25,0.8729261137118074
64,8,1.1456255197525025,0.015519517744253872,99.515,0.5529692577350039
64,16,2.284032440185547,0.023003468861056597,99.8,0.20000000000000284
64,20,2.8552563190460205,0.02475491120116293,99.87,0.17058722109232083
128,1,2.0917072534561156,0.020354605242919085,25.025,43.258228985939766
128,2,2.1365201473236084,0.03973793760179415,49.81,49.78672413405004
128,4,4.532600593566895,0.033402972590850746,99.6075,0.4628107064448709
128,8,9.07692654132843,0.12565121496567483,99.8725,0.1548991607465972
128,16,18.103419423103333,0.1456656934929888,99.8625,0.11333026956643251
128,20,22.655322194099426,0.15467397089337676,99.905,0.13774977313955966
