size_arr,num_proc,time_avg,time_std,cpu_ut_avg,cpu_ut_std
1,1,0.002365851402,0.0003615580366,6.25,24.20614591
1,2,0.002817177773,8.17E-05,11.25,31.59806165
1,4,0.004600763321,0.0001642212912,15.625,34.08972536
1,8,0.008331727982,0.0005259776779,33.75,44.56385867
1,16,0.01534044743,0.000235746098,38.4375,37.58115676
1,20,0.01912631989,0.0002263684707,42.49875,38.36333371
2,1,0.002099895477,7.62E-05,7.5,26.33913438
2,2,0.002846908569,5.07E-05,10.625,30.30444481
2,4,0.004642271996,0.0001244941576,16.25,36.89088641
2,8,0.008394265175,0.0002012857365,28.33375,40.34612417
2,16,0.01552906036,0.0003539516359,42.2925,40.22140219
2,20,0.01967694759,0.0004144713378,43.12375,37.8884786
4,1,0.002273344994,0.00016764707,5,21.79449472
4,2,0.003271436691,0.000217386818,14.375,33.7210524
4,4,0.004817938805,0.0002491477448,16.875,36.1798891
4,8,0.008529305458,0.0003927798478,30,42.27883631
4,16,0.01554841995,0.0004428770857,42.5,40.38873605
4,20,0.01920595169,0.0005088032149,42.7075,39.0752504
8,1,0.002663803101,3.63E-05,5.625,22.35194343
8,2,0.003603386879,0.0001997056426,13.125,32.34941074
8,4,0.00568921566,0.0002679352628,21.25,40.1364859
8,8,0.009817028046,0.0006900737304,35,42.13074887
8,16,0.01676871777,0.0006185671542,45.625,39.33154745
8,20,0.02068333626,0.0003341762067,47.60375,40.03645665
16,1,0.006327462196,9.78E-05,15,34.82097069
16,2,0.007085490227,0.0001332116121,21.25,39.3501906
16,4,0.01177475452,0.0004818629348,46.25,45.94493987
16,8,0.01691887379,0.001294519654,66.88,34.10497178
16,16,0.03025844097,0.001692198379,81.96625,18.30621441
16,20,0.03786020279,0.00130960403,84.44,13.74283995
32,1,0.0365156889,0.003379663968,22.855,35.58093907
32,2,0.03792104721,0.003054542597,36.73,41.44956996
32,4,0.06945104599,0.005913406518,48.45875,39.67530622
32,8,0.09727568626,0.009193962704,81.27375,13.45351946
32,16,0.1669085979,0.003272814065,93.82625,4.427576757
32,20,0.2090684175,0.007482013782,95.6925,3.440849277
64,1,0.2747009754,0.01015381988,25.73625,32.83398485
64,2,0.2811251879,0.02343756891,36.91375,39.0337506
64,4,0.415292716,0.03586445089,54.58625,30.87763245
64,8,0.6503757954,0.0504620518,91.19875,7.024483856
64,16,1.178910327,0.01714431769,97.03,1.837824801
64,20,1.486314869,0.05263822017,98.18875,1.332103013
128,1,2.104452467,0.04775054257,15.1625,32.24962161
128,2,2.09276166,0.02869527736,24.9575,43.18476518
128,4,2.104960203,0.03351333156,49.77125,49.71020819
128,8,4.466203618,0.04997245741,99.3125,0.5399942129
128,16,8.898699617,0.06450674045,99.74125,0.1901931584
128,20,11.16818001,0.09833450299,99.4575,0.3141556143
256,1,16.61184931,0.198938006,12.50625,33.06198475
256,2,16.82509239,0.200225837,24.95375,43.19283779
256,4,16.75999005,0.1628770194,49.755,49.73189595
256,8,35.61820595,0.4169728057,99.4325,0.422426029
256,16,71.39598079,0.6484770663,99.76,0.1729161647
256,20,88.87718844,0.6600988513,99.72625,0.2234635037
512,1,132.6028995,1.387578195,12.5,33.07189139
512,2,133.278337,1.602745405,24.94625,43.20009243
512,4,133.9623724,1.827407833,49.70625,49.0701904
512,8,281.8770546,3.10397115,99.53625,0.3921873755
512,16,565.2518739,6.58076435,99.67875,0.2142975443
512,20,704.8210557,4.392640416,99.77875,0.1648436759
