size_arr,num_proc,time_avg,time_std,cpu_ut_avg,cpu_ut_std
1,1,0.0024172782897949217,0.0003720267006593751,1.875,12.358574958303242
1,2,0.002833437919616699,0.00012117848215975251,5.0,21.79449471770337
1,4,0.004618692398071289,0.0002126589428264376,9.375,27.492896809903463
1,8,0.00836775302886963,0.000667228034920935,16.875,33.488570811547035
1,16,0.01573662757873535,0.00016472380177454446,27.29125,34.686997541405916
1,20,0.020085358619689943,0.00022957078366069703,29.995000000000005,32.211026450580555
2,1,0.002183055877685547,6.308252842011031e-05,1.25,11.110243021644486
2,2,0.0029184103012084963,0.0001421183152402964,8.75,27.128168017763382
2,4,0.0047256708145141605,0.00024157780498561016,12.5,33.071891388307385
2,8,0.008381032943725586,0.00016885335677397178,18.125,32.82886496667224
2,16,0.016020488739013673,0.0003391320344264268,25.415,33.226413062501955
2,20,0.020059967041015626,0.00022427766445915926,31.033749999999998,32.03107843856495
4,1,0.002216601371765137,0.00012160490253457822,2.5,15.612494995995995
4,2,0.0030170679092407227,9.895199718013172e-05,6.25,22.878756522153907
4,4,0.004648590087890625,0.00031550088671035404,12.5,32.113081446662825
4,8,0.00848691463470459,0.00017008651929949992,20.0,35.88175023601831
4,16,0.015671133995056152,0.00034273189872458947,29.997499999999995,34.399371269690384
4,20,0.01952998638153076,0.0003584772997422316,29.992500000000007,32.53255206327963
8,1,0.002676844596862793,7.618936061016224e-05,3.75,17.275343701356565
8,2,0.0033915042877197266,6.464441801865929e-05,5.0,20.310096011589902
8,4,0.004981517791748047,0.00032132921822937606,13.125,32.349410736518834
8,8,0.009034204483032226,0.00034604448742482305,21.25,35.15590277606308
8,16,0.016899728775024415,0.0004508247852845904,32.082499999999996,33.725064028849516
8,20,0.021164894104003906,0.000407785899255327,34.785000000000004,30.75582505802763
16,1,0.005968260765075684,5.805842919704931e-05,9.375,28.60698122836452
16,2,0.006783819198608399,9.297035812660789e-05,11.25,29.553976043842223
16,4,0.00794222354888916,7.332202430073555e-05,27.5,42.5
16,8,0.014245295524597168,0.00034329126879247094,50.41875,39.35105174499787
16,16,0.025344586372375487,0.00042194252162841843,76.575,18.95496307039399
16,20,0.030895519256591796,0.0005014720471872817,80.19500000000001,19.530027521742
32,1,0.03207886219024658,0.0003895912093010318,12.625,31.878431187873723
32,2,0.032460260391235354,0.00025503368724881195,25.208750000000002,42.55296756323229
32,4,0.03722219467163086,0.00870789401869395,46.5125,45.78225468180876
32,8,0.06989281177520752,0.0006506184248322944,90.52000000000001,6.607824906881234
32,16,0.13657114505767823,0.0016137399435298219,94.96374999999998,3.5007229164131224
32,20,0.1716252326965332,0.001846230207365468,94.66625,3.0659804202734233
64,1,0.23911519050598146,0.004774678604416107,12.5,32.926433150282165
64,2,0.24208364486694336,0.003363530157659595,24.8975,42.78756821496169
64,4,0.24263858795166016,0.003179763367455543,49.3325,48.96538515880377
64,8,0.5154163360595703,0.003313208130747138,98.2825,1.0922196436614753
64,16,1.0244677066802979,0.006938304052156569,99.14124999999999,0.5342503509591738
64,20,1.2836585283279418,0.01326485932726784,98.77625000000002,0.7477037765719783
128,1,1.8837586879730224,0.018919263066890388,12.5,33.03426251636322
128,2,1.9124320030212403,0.035288696970958724,24.91,43.074974172946405
128,4,1.9182208776474,0.038827367849301096,49.67375,49.62830528979908
128,8,4.075853061676026,0.0295761675212835,99.28375,0.5749877716091015
128,16,8.111597061157227,0.06183217629813549,99.59,0.27910571473905743
128,20,10.180066871643067,0.0843709027918784,99.21000000000001,0.6556675987114203
256,1,15.141404294967652,0.25136473635117784,12.50125,33.06764466117144
256,2,15.29536259174347,0.22167071290218238,24.916249999999998,43.15229554655813
256,4,15.275290083885192,0.2308324547762432,49.698750000000004,49.6521034140297
256,8,32.55287170410156,0.3424965477384974,99.34375,0.5888216516909005
256,16,64.87134530544282,0.5128452773880364,99.735,0.19241881404893918
256,20,81.47255597114562,0.8400202573292538,99.45,0.4474930167052893
