,N,#procs,time_mean,time_std,cpu_mean,cpu_std,instance,parallel
82,64,32,0.28800000000000003,0.0006929999999999999,99.3,0.833,m5large,True
83,64,32,0.24100000000000002,0.00158,50.0,0.447,m5large,False
84,128,1,1.95,0.00498,50.1,0.049,m5large,True
85,128,1,1.93,0.0145,50.1,0.282,m5large,False
86,128,2,1.88,0.00471,99.8,0.13699999999999998,m5large,True
87,128,2,1.92,0.0132,50.0,0.14,m5large,False
88,128,4,1.88,0.00323,100.0,0.09,m5large,True
89,128,4,1.92,0.00948,50.1,0.247,m5large,False
90,128,8,1.89,0.0039299999999999995,99.9,0.12,m5large,True
91,128,8,1.92,0.015,50.0,0.0775,m5large,False
92,128,16,1.9,0.00314,99.8,0.15,m5large,True
93,128,16,1.92,0.0158,50.0,0.0539,m5large,False
94,128,32,1.93,0.00336,99.8,0.147,m5large,True
95,128,32,1.92,0.0118,50.0,0.0,m5large,False
96,256,1,15.6,0.0289,50.0,0.03,m5large,True
97,256,1,15.4,0.0917,50.0,0.0,m5large,False
98,256,2,15.1,0.0507,100.0,0.0671,m5large,True
99,256,2,15.4,0.11199999999999999,50.0,0.0,m5large,False
100,256,4,15.2,0.0245,100.0,0.03,m5large,True
101,256,4,15.3,0.12300000000000001,50.0,0.0,m5large,False
102,256,8,15.2,0.0283,100.0,0.03,m5large,True
103,256,8,15.1,0.0882,50.0,0.03,m5large,False
104,256,16,15.2,0.0155,100.0,0.0,m5large,True
105,256,16,15.1,0.0982,50.0,0.0,m5large,False
106,256,32,15.3,0.0155,100.0,0.0,m5large,True
107,256,32,15.2,0.0912,50.0,0.0,m5large,False
108,512,1,125.0,0.19,50.0,0.0458,m5large,True
109,512,1,124.0,0.344,50.0,0.0458,m5large,False
110,512,2,123.0,0.275,99.4,0.127,m5large,True
111,512,2,123.0,0.29600000000000004,50.1,7.109999999999999e-15,m5large,False
112,512,4,121.0,0.213,100.0,0.0,m5large,True
113,512,4,123.0,0.39899999999999997,50.1,7.109999999999999e-15,m5large,False
114,512,8,122.0,0.14300000000000002,100.0,0.049,m5large,True
115,512,8,123.0,0.305,50.1,7.109999999999999e-15,m5large,False
116,512,16,122.0,0.0888,100.0,0.0,m5large,True
117,512,16,124.0,0.513,50.1,7.109999999999999e-15,m5large,False
118,512,32,123.0,0.188,100.0,0.0,m5large,True
119,512,32,123.0,0.247,50.1,7.109999999999999e-15,m5large,False
120,1,1,0.00247,0.000106,10.0,20.0,m5xlarge,True
121,1,1,9.98e-05,4.23e-06,0.0,0.0,m5xlarge,False
122,1,2,0.00237,6.49e-05,15.0,32.0,m5xlarge,True
123,1,2,0.000102,4.47e-06,0.0,0.0,m5xlarge,False
124,1,4,0.00234,4.970000000000001e-05,10.0,20.0,m5xlarge,True
125,1,4,0.000105,9.71e-06,10.0,30.0,m5xlarge,False
126,1,8,0.00233,6.4e-05,10.0,20.0,m5xlarge,True
127,1,8,0.000101,1.8000000000000001e-06,0.0,0.0,m5xlarge,False
128,1,16,0.00237,4.6299999999999994e-05,10.0,30.0,m5xlarge,True
129,1,16,0.000102,3.06e-06,0.0,0.0,m5xlarge,False
130,1,32,0.00238,2.94e-05,20.0,33.2,m5xlarge,True
131,1,32,0.00010400000000000001,8.78e-06,10.0,30.0,m5xlarge,False
132,2,1,0.00244,8.46e-05,25.0,33.5,m5xlarge,True
133,2,1,0.00011599999999999999,2.02e-05,0.0,0.0,m5xlarge,False
134,2,2,0.00331,8.88e-05,25.0,33.5,m5xlarge,True
135,2,2,0.00010700000000000001,3.21e-06,0.0,0.0,m5xlarge,False
136,2,4,0.0034100000000000003,0.000125,25.0,25.0,m5xlarge,True
137,2,4,0.00011100000000000001,4.79e-06,0.0,0.0,m5xlarge,False
138,2,8,0.00331,5.5e-05,30.0,33.2,m5xlarge,True
139,2,8,0.00010800000000000001,2.49e-06,0.0,0.0,m5xlarge,False
140,2,16,0.0033799999999999998,8.950000000000001e-05,28.3,28.9,m5xlarge,True
141,2,16,0.00011200000000000001,3.83e-06,0.0,0.0,m5xlarge,False
142,2,32,0.00328,6.8e-05,15.0,22.9,m5xlarge,True
143,2,32,0.000109,2.1000000000000002e-06,0.0,0.0,m5xlarge,False
144,4,1,0.00244,5.27e-05,40.0,37.4,m5xlarge,True
145,4,1,0.000165,1.42e-05,10.0,30.0,m5xlarge,False
146,4,2,0.00344,8.46e-05,35.0,32.0,m5xlarge,True
147,4,2,0.000161,2.8999999999999998e-06,0.0,0.0,m5xlarge,False
148,4,4,0.0057799999999999995,0.00023199999999999997,46.7,16.3,m5xlarge,True
149,4,4,0.000164,2.95e-06,0.0,0.0,m5xlarge,False
150,4,8,0.00588,0.00022999999999999998,58.4,8.35,m5xlarge,True
151,4,8,0.00016999999999999999,4.22e-06,0.0,0.0,m5xlarge,False
152,4,16,0.0056700000000000006,0.000113,38.3,25.9,m5xlarge,True
153,4,16,0.000172,9.37e-06,10.0,30.0,m5xlarge,False
154,4,32,0.0057399999999999994,0.000312,51.7,20.4,m5xlarge,True
155,4,32,0.000164,6.5000000000000004e-06,0.0,0.0,m5xlarge,False
156,8,1,0.00281,4.45e-05,35.0,39.1,m5xlarge,True
157,8,1,0.00055,6.68e-06,0.0,0.0,m5xlarge,False
158,8,2,0.00351,0.000118,35.0,39.1,m5xlarge,True
159,8,2,0.000543,9.6e-06,10.0,30.0,m5xlarge,False
160,8,4,0.00577,0.000162,53.3,12.5,m5xlarge,True
161,8,4,0.000554,1.25e-05,0.0,0.0,m5xlarge,False
162,8,8,0.009609999999999999,0.000246,61.2,11.2,m5xlarge,True
163,8,8,0.0005679999999999999,1.3500000000000001e-05,10.0,30.0,m5xlarge,False
164,8,16,0.0095,0.000307,57.8,11.5,m5xlarge,True
165,8,16,0.000571,2.12e-05,5.0,15.0,m5xlarge,False
166,8,32,0.00933,0.00023500000000000002,64.2,7.51,m5xlarge,True
167,8,32,0.0005639999999999999,2.6000000000000002e-05,10.0,30.0,m5xlarge,False
168,16,1,0.00603,5.8399999999999997e-05,28.3,24.8,m5xlarge,True
169,16,1,0.00365,2.7899999999999997e-05,10.0,20.0,m5xlarge,False
170,16,2,0.00526,9.25e-05,33.3,23.6,m5xlarge,True
171,16,2,0.00366,3.74e-05,15.0,22.9,m5xlarge,False
172,16,4,0.0069700000000000005,0.000188,59.2,9.48,m5xlarge,True
173,16,4,0.00372,3.17e-05,30.0,24.5,m5xlarge,False
174,16,8,0.0106,0.00041600000000000003,72.8,6.05,m5xlarge,True
175,16,8,0.0036799999999999997,4.84e-05,15.0,22.9,m5xlarge,False
176,16,16,0.0186,0.00032,72.4,4.5,m5xlarge,True
177,16,16,0.00366,3.8900000000000004e-05,10.0,20.0,m5xlarge,False
178,16,32,0.0176,0.0005639999999999999,66.7,5.87,m5xlarge,True
179,16,32,0.00361,2.5e-05,25.0,25.0,m5xlarge,False
180,32,1,0.0311,0.00015900000000000002,25.8,2.11,m5xlarge,True
181,32,1,0.0278,0.000178,27.1,0.69,m5xlarge,False
182,32,2,0.0205,0.0053,51.5,2.4,m5xlarge,True
183,32,2,0.0277,0.00021899999999999998,22.5,3.54,m5xlarge,False
184,32,4,0.0194,0.000205,85.3,3.87,m5xlarge,True
185,32,4,0.0284,0.000226,23.1,3.42,m5xlarge,False
186,32,8,0.0233,0.000236,80.1,4.64,m5xlarge,True
