size_arr,num_proc,time_avg,time_std,cpu_ut_avg,cpu_ut_std
1,1,0.0021092891693115234,0.0004899612365180521,12.5,31.12474899497183
1,2,0.0029402971267700195,5.870776121299541e-05,25.0,43.30127018922193
1,4,0.005413460731506348,4.6829445125013144e-05,38.335,47.46443168310351
1,8,0.011105990409851075,0.0009927720000330903,93.33500000000001,22.605801799538103
1,16,0.022064471244812013,0.0003858103922723778,96.67,9.989999999999998
1,20,0.028107190132141115,0.00032546479015060166,100.0,0.0
2,1,0.0018524408340454101,4.504963688352932e-05,15.0,35.70714214271425
2,2,0.00300295352935791,5.036380723869327e-05,25.0,43.30127018922193
2,4,0.005568933486938476,4.403014757180443e-05,43.335,48.42026719257134
2,8,0.010978388786315917,6.945661916883488e-05,92.5,23.84848003542364
2,16,0.02208561897277832,0.0003450830815692951,96.67,9.989999999999998
2,20,0.027754497528076173,0.0005301322195392312,97.08500000000001,8.842922311091508
4,1,0.0018923521041870118,5.677971873844819e-05,10.0,30.0
4,2,0.0031189203262329103,3.889747057246895e-05,27.5,43.229041164476456
4,4,0.006012058258056641,0.00019524176488314084,55.0,49.749371855331
4,8,0.011796522140502929,0.00011142536613500285,90.0,25.495097567963924
4,16,0.02310163974761963,0.00039063214856294544,96.67,9.989999999999998
4,20,0.02894918918609619,0.00036808625959637494,97.75,6.796138609534093
8,1,0.0023253202438354493,3.593964555587378e-05,17.5,36.31459761583488
8,2,0.003815746307373047,3.752987135119703e-05,25.0,43.30127018922193
8,4,0.008052229881286621,5.032668334345078e-05,57.5,48.153400710645556
8,8,0.015080666542053223,0.00019237807224843612,95.0,15.0
8,16,0.0310361385345459,0.00026413619544575387,97.5,7.5
8,20,0.03790407180786133,0.0003243908993556641,97.75,6.796138609534093
16,1,0.00604240894317627,3.5484190436533494e-05,25.0,43.30127018922193
16,2,0.011800336837768554,6.31314929997111e-05,95.83500000000001,12.770954349616947
16,4,0.023122739791870118,0.00019226822218838634,97.08500000000001,8.842922311091508
16,8,0.04632809162139893,0.00039311162777628405,98.285,5.223339449049813
16,16,0.09354798793792725,0.0008840595573086781,98.94500000000001,3.1697752286242626
16,20,0.11704421043395996,0.0010747701112728254,99.17,2.4899999999999993
32,1,0.035691237449645995,0.00039660546811456346,52.25,48.17870380157606
32,2,0.07445335388183594,0.00036127859236014,98.82000000000001,3.5469141517662917
32,4,0.1475295066833496,0.0014349945876384665,99.35499999999999,1.9366143136928438
32,8,0.2944700479507446,0.0019855534064120877,99.515,1.1546752790286976
32,16,0.5901195287704468,0.004130225848480264,99.74499999999999,0.6070214164261433
32,20,0.7337048768997192,0.006199085751346544,99.80000000000001,0.4764451699828639
64,1,0.26647956371307374,0.004103803562962568,50.36,49.650442092694405
64,2,0.5700520753860474,0.00754407090230056,99.57,0.745050333870136
64,4,1.1351462602615356,0.009429066593513582,99.865,0.3213642792844303
64,8,2.2586191654205323,0.021590018034692456,99.94000000000001,0.14282856857085902
64,16,4.52431640625,0.02997711402542151,99.96000000000001,0.08000000000000114
64,20,5.658499765396118,0.043857110527137255,99.97999999999999,0.06000000000000086
128,1,2.0998411178588867,0.03116027165726601,50.07,48.524067224419674
128,2,4.502792835235596,0.030797803298567215,99.915,0.16515144564913845
128,4,9.021570873260497,0.09295585949194708,99.95,0.06708203932499304
128,8,18.02678656578064,0.20915871810999218,99.94500000000001,0.06689544080129753
128,16,36.05578439235687,0.3280964472919987,99.99000000000001,0.02999999999999829
128,20,45.14309175014496,0.369162780883845,99.995,0.021794494717702124
